Tag,Event Type,Package,Resource ID,Text,Signature,Content Free Signature,Event String
keyboard,,,,,,,
2024-05-20_031156,,NULL,NULL,NULL,NULL,NULL,IntentEvent(intent='am start ridmik.keyboard/com.android.inputmethod.latin.setup.MainActivity')
2024-05-20_031208,touchkill_app,NULL,NULL,NULL,NULL,NULL,KillAppEvent()
2024-05-20_031202,intent,ridmik.keyboard,ridmik.keyboard:id/setup_start_label,সেটাপ শুরু করুন,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_start_label[text]সেটাপ শুরু করুন[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_start_label,TouchEvent(state=51789b82242cb13db502ad7bbdf786c2  view=e7d7e292057b56b1708710fa2ec281e6(SetupWizardActivity/TextView-সেটাপ শুরু))
2024-05-20_031215,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step1_bullet,1,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step1_bullet[text]1[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step1_bullet,TouchEvent(state=11626efb4e53ac9e03ba1cd69f8d7204  view=a4d5b6b142cac3be97bd669676d0a950(SetupWizardActivity/TextView-1))
2024-05-20_031221,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_action_label,সেটিংসে অন করুন,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label[text]সেটিংসে অন করুন[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label,TouchEvent(state=11626efb4e53ac9e03ba1cd69f8d7204  view=be69215e7747c25ae6db62db48204160(SetupWizardActivity/TextView-সেটিংসে অন))
2024-05-20_031227,touch,com.android.settings,com.android.settings:id/action_bar_container,None,[class]android.widget.FrameLayout[resource_id]com.android.settings:id/action_bar_container[text]None[enabled  ],[class]android.widget.FrameLayout[resource_id]com.android.settings:id/action_bar_container,TouchEvent(state=cb495c45ef90ddb0292332de184946f7  view=89730dbf757a13ec5a32259f2018eafc(AvailableVirtualKeyboardActivity/FrameLayout-))
2024-05-20_031232,touch,com.android.settings,com.android.settings:id/up,None,[class]android.widget.FrameLayout[resource_id]com.android.settings:id/up[text]None[enabled  ],[class]android.widget.FrameLayout[resource_id]com.android.settings:id/up,TouchEvent(state=cb495c45ef90ddb0292332de184946f7  view=e73743aea1318b9965cb3f15efd46e15(AvailableVirtualKeyboardActivity/FrameLayout-))
2024-05-20_031238,touch,ridmik.keyboard,ridmik.keyboard:id/more_safe_text_btn,আরো জানুন,[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn[text]আরো জানুন[enabled  ],[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn,TouchEvent(state=11626efb4e53ac9e03ba1cd69f8d7204  view=f48a596fa0d524298b6f064a6f4351af(SetupWizardActivity/Button-আরো জানুন))
2024-05-20_031244,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step1_bullet,1,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step1_bullet[text]1[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step1_bullet,TouchEvent(state=f346297bdeaba43a2819be62718468db  view=a4d5b6b142cac3be97bd669676d0a950(SetupWizardActivity/TextView-1))
2024-05-20_031250,touch,ridmik.keyboard,ridmik.keyboard:id/setup_step_action_label,সেটিংসে অন করুন,[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label[text]সেটিংসে অন করুন[enabled  ],[class]android.widget.TextView[resource_id]ridmik.keyboard:id/setup_step_action_label,TouchEvent(state=f346297bdeaba43a2819be62718468db  view=be69215e7747c25ae6db62db48204160(SetupWizardActivity/TextView-সেটিংসে অন))
2024-05-20_031256,touch,ridmik.keyboard,ridmik.keyboard:id/more_safe_text_btn,আরো জানুন,[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn[text]আরো জানুন[enabled  ],[class]android.widget.Button[resource_id]ridmik.keyboard:id/more_safe_text_btn,TouchEvent(state=f346297bdeaba43a2819be62718468db  view=f48a596fa0d524298b6f064a6f4351af(SetupWizardActivity/Button-আরো জানুন))
2024-05-20_031302,touch,ridmik.keyboard,None,None,[class]android.view.ViewGroup[resource_id]None[text]None[enabled  ],[class]android.view.ViewGroup[resource_id]None,TouchEvent(state=f346297bdeaba43a2819be62718468db  view=418dfb14f8bb0118f48b8a0bfdcf341c(SetupWizardActivity/ViewGroup-))
